,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year, raised_amount_usd ,Unnamed: 16
10953,/organization/breeze-technology,Breeze Technology,|Ticketing|,Ticketing,RUS,,St. Petersburg,Saint Petersburg,/funding-round/38eba0fc07d7647078b323c332371cbb,venture,B,2013-03-01,2013-03, 2013-Q1 ,2013.0," 3,000,000 ",
77150,/organization/vantrix,Vantrix,|Mobile|,Mobile,CAN,QC,Montreal,Montréal,/funding-round/ecf20b8dfd0b612c1b79cbc0b77b8154,seed,,2012-09-04,2012-09, 2012-Q3 ,2012.0," 1,457,896 ",
10109,/organization/bluestripe-software,BlueStripe Software,|Web Development|IT Management|Software|,Software,USA,NC,Raleigh,Morrisville,/funding-round/62f3a665c08c8138573cb7c9de95b592,venture,B,2009-04-20,2009-04, 2009-Q2 ,2009.0," 8,000,000 ",
71472,/organization/targeted-instant-communications,Targeted Instant Communications,|Software|,Software,USA,CT,Hartford,New Haven,/funding-round/600388eea9a6d293ed136069be09d9e2,venture,,2013-05-17,2013-05, 2013-Q2 ,2013.0," 390,000 ",
78328,/organization/vine-girls,Vine Girls,|Entertainment|Game|,Entertainment,USA,CO,Denver,Denver,/funding-round/0b2ef0e7ca4f01c3859a51d734b503d4,equity_crowdfunding,,2012-02-02,2012-02, 2012-Q1 ,2012.0,,
30236,/organization/gravidi,GRAVIDI,|Video|iPad|Mobile|,iPad,,,,,/funding-round/308c14ca54c5c7a7bd63ffd6271ab584,seed,,2013-08-30,2013-08, 2013-Q3 ,2013.0," 1,000,000 ",
83281,/organization/zi-uniform-supply,Zi Uniform Supply,,,USA,UT,Salt Lake City,Ogden,/funding-round/4e0a32c9bce3f2ed549414149abc8bcf,equity_crowdfunding,,2014-03-10,2014-03, 2014-Q1 ,2014.0,,
63142,/organization/sec-watch,SEC Watch,|Finance|,Finance,,,,,/funding-round/1de8f7a5c937fb386b2c6b8c8f06fe4e,seed,,2009-04-01,2009-04, 2009-Q2 ,2009.0,,
50446,/organization/nuxeo,Nuxeo,|Open Source|Document Management|Web CMS|Enterprises|Software|,Enterprises,USA,NY,New York City,Brooklyn,/funding-round/d14e2c3e94fbef10a9555c2bbbb21e5e,angel,,2007-09-01,2007-09, 2007-Q3 ,2007.0," 150,000 ",
33454,/organization/id-watchdog,ID Watchdog,|Security|,Security,USA,CO,Denver,Denver,/funding-round/342deffc159f891856c3b1a33f90d83b,venture,,2011-02-15,2011-02, 2011-Q1 ,2011.0," 3,000,000 ",
3285,/organization/algevolve,AlgEvolve,|Clean Technology|,Clean Technology,USA,MT,MT - Other,Corvallis,/funding-round/fefbfd6d06ad26932fd5a838bcb69f1e,venture,,2013-05-24,2013-05, 2013-Q2 ,2013.0," 771,496 ",
62442,/organization/satmetrix,Satmetrix,|Loyalty Programs|Software|,Loyalty Programs,USA,CA,SF Bay Area,San Mateo,/funding-round/ee7cb4a793b0891060055c359511f23c,debt_financing,,2009-09-10,2009-09, 2009-Q3 ,2009.0," 1,000,000 ",
57118,/organization/promorepublic,PromoRepublic,|Small and Medium Businesses|B2B|Social Media Management|Promotional|Advertising|,Small and Medium Businesses,EST,,Tallinn,Tallinn,/funding-round/db7621b75ab7b205e36324f40c625a47,angel,,2013-07-01,2013-07, 2013-Q3 ,2013.0," 30,000 ",
21851,/organization/easy-taxi,Easy Taxi,|Consumers|SaaS|Mobile|,SaaS,BRA,,Sao Paulo,São Paulo,/funding-round/a52ee3602a49787bd445c7602f48a9e1,venture,C,2013-07-24,2013-07, 2013-Q3 ,2013.0," 10,000,000 ",
33477,/organization/idea2,Idea2,|Databases|Contact Management|Tracking|Project Management|Mobile|Cloud Computing|Enterprise Software|CRM|Software|,Tracking,,,,,/funding-round/7b733ebccbbc46a7d29979af2d13efc8,angel,,2009-01-01,2009-01, 2009-Q1 ,2009.0," 1,400,000 ",
