,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
15707,,,,,,,,,,,,,,,,,,,,,,
2473,/organization/cn-creative,CN Creative,|Biotechnology|,Biotechnology,GBR,,Manchester,Manchester,/organization/british-american-tobacco,British American Tobacco,,,GBR,,London,London,2012-12-01,2012-12,2012-Q4,2012.0," 50,000,000 ",GBP
41095,,,,,,,,,,,,,,,,,,,,,,
36029,,,,,,,,,,,,,,,,,,,,,,
19656,,,,,,,,,,,,,,,,,,,,,,
24250,,,,,,,,,,,,,,,,,,,,,,
22366,,,,,,,,,,,,,,,,,,,,,,
39394,,,,,,,,,,,,,,,,,,,,,,
45542,,,,,,,,,,,,,,,,,,,,,,
4583,/organization/gamesaku,Gamesaku,|Social Media|,Social Media,,,,,/organization/tech-in-asia,Tech in Asia,|News|,News,SGP,,Singapore,Singapore,2013-09-12,2013-09,2013-Q3,2013.0,,USD
29412,,,,,,,,,,,,,,,,,,,,,,
39290,,,,,,,,,,,,,,,,,,,,,,
11092,/organization/synapticmash,SynapticMash,|Software|,Software,USA,WA,Seattle,Seattle,/organization/promethean-2,Promethean,|Biotechnology|,Biotechnology,USA,CT,Hartford,East Hartford,2010-07-29,2010-07,2010-Q3,2010.0," 10,000,000 ",USD
14258,,,,,,,,,,,,,,,,,,,,,,
44374,,,,,,,,,,,,,,,,,,,,,,
38857,,,,,,,,,,,,,,,,,,,,,,
31782,,,,,,,,,,,,,,,,,,,,,,
39694,,,,,,,,,,,,,,,,,,,,,,
45616,,,,,,,,,,,,,,,,,,,,,,
29255,,,,,,,,,,,,,,,,,,,,,,
44943,,,,,,,,,,,,,,,,,,,,,,
28794,,,,,,,,,,,,,,,,,,,,,,
